pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,2021-04-01,83.1,2.13,5.8,"Bummer, Aaron",457708,607481,,foul,,,,,7,Justin Upton walks.   Shohei Ohtani to 3rd.    Mike Trout to 2nd.,R,R,L,LAA,CWS,S,,,2,2,2021,-1.4,-0.51,-0.34,1.97,,660271,545361,1,8,Bot,,,,,518735,,,-2.8859638530129224,-121.00833686989027,-1.2654300328310721,-13.061627745307286,26.01793265371297,-37.13707252578868,3.41,1.56,4,76.8,-31,82.2,2535,5.9,634655,607481,518735,547989,663611,660162,641313,544725,673357,594809,54.61,,,,,,,,64,6,Slider,3,3,3,3,3,3,3,3,Standard,Standard,306,0.0,
SL,2021-04-01,82.3,2.02,5.91,"Bummer, Aaron",457708,607481,,foul,,,,,13,Justin Upton walks.   Shohei Ohtani to 3rd.    Mike Trout to 2nd.,R,R,L,LAA,CWS,S,,,2,2,2021,-1.6,-0.56,-0.98,2.32,,660271,545361,1,8,Bot,,,,,518735,,,-3.696639176129413,-119.75630360802832,-0.429813000684678,-14.360846462352214,27.13184364544817,-37.67364421756589,3.41,1.56,195,64.5,47,81.6,2552,6.2,634655,607481,518735,547989,663611,660162,641313,544725,673357,594809,54.27,,,,,,,,64,5,Slider,3,3,3,3,3,3,3,3,Standard,Standard,309,0.0,
FC,2021-04-01,87.3,2.17,5.84,"Bummer, Aaron",457708,607481,,swinging_strike,,,,,3,Justin Upton walks.   Shohei Ohtani to 3rd.    Mike Trout to 2nd.,R,R,L,LAA,CWS,S,,,2,1,2021,0.02,0.19,0.34,2.96,,660271,545361,1,8,Bot,,,,,518735,,,-4.436796054318271,-127.05123535738579,-1.160586383585773,1.1710926250867837,26.28738575544679,-30.146142880693663,3.41,1.56,,,,86.9,2124,6.0,634655,607481,518735,547989,663611,660162,641313,544725,673357,594809,54.48,,,,,,,,64,4,Cutter,3,3,3,3,3,3,3,3,Standard,Standard,242,0.0,
SI,2021-04-01,96.0,2.1,5.72,"Bummer, Aaron",457708,607481,,swinging_strike,,,,,5,Justin Upton walks.   Shohei Ohtani to 3rd.    Mike Trout to 2nd.,R,R,L,LAA,CWS,S,,,2,0,2021,1.43,0.22,-0.08,2.72,,660271,545361,1,8,Bot,,,,,518735,,,-8.924920078879554,-139.52850935823068,-2.828339911736064,20.6420423765339,31.035888965920357,-28.901354079027357,3.41,1.56,,,,95.6,2037,6.1,634655,607481,518735,547989,663611,660162,641313,544725,673357,594809,54.43,,,,,,,,64,3,Sinker,3,3,3,3,3,3,3,3,Standard,Standard,121,0.0,
SI,2021-04-01,95.1,2.12,5.7,"Bummer, Aaron",457708,607481,,ball,,,,,13,Justin Upton walks.   Shohei Ohtani to 3rd.    Mike Trout to 2nd.,R,R,L,LAA,CWS,B,,,1,0,2021,1.45,-0.11,-1.34,2.13,,660271,545361,1,8,Bot,,,,,518735,,,-12.262902831631221,-137.8711461509338,-3.418573450133513,21.25402537742191,30.737835385671925,-32.99346191750008,3.5,1.65,,,,94.8,2101,6.3,634655,607481,518735,547989,663611,660162,641313,544725,673357,594809,54.19,,,,,,,,64,2,Sinker,3,3,3,3,3,3,3,3,Standard,Standard,125,0.0,
SI,2021-04-01,94.8,2.22,5.73,"Bummer, Aaron",457708,607481,,ball,,,,,6,Justin Upton walks.   Shohei Ohtani to 3rd.    Mike Trout to 2nd.,R,R,L,LAA,CWS,B,,,0,0,2021,1.19,-0.03,0.44,2.84,,660271,545361,1,8,Bot,,,,,518735,,,-7.264739844097113,-137.96140453113185,-1.832832293330452,16.78181504065384,29.40898024101369,-32.389835289744724,3.65,1.76,,,,94.6,2074,6.1,634655,607481,518735,547989,663611,660162,641313,544725,673357,594809,54.44,,,,,,,,64,1,Sinker,3,3,3,3,3,3,3,3,Standard,Standard,129,0.0,
SL,2021-04-01,82.6,2.14,5.78,"Bummer, Aaron",543685,607481,strikeout,swinging_strike,,,,,13,Anthony Rendon strikes out swinging.,R,R,L,LAA,CWS,S,2,,1,2,2021,-1.31,-0.52,-1.16,2.23,,660271,545361,0,8,Bot,,,,,518735,,,-4.974281371176787,-120.09361328042264,-0.4619704655487447,-11.40432333050079,26.569763653754038,-37.27453541790105,3.41,1.56,,,,82.2,2488,6.4,634655,607481,518735,547989,663611,660162,641313,544725,673357,594809,54.12,,,0.0,1,0,0,,63,4,Slider,3,3,3,3,3,3,3,3,Standard,Standard,302,-0.087,
SI,2021-04-01,96.2,2.17,5.69,"Bummer, Aaron",543685,607481,,called_strike,,,,,7,Anthony Rendon strikes out swinging.,R,R,L,LAA,CWS,S,,,1,1,2021,1.4,0.06,-0.38,1.6,,660271,545361,0,8,Bot,,,,,518735,,,-9.942917808826378,-139.75854862485843,-5.410658811460358,20.612626949386822,30.289823017295927,-30.329734132130056,3.24,1.6,,,,96.1,2109,6.3,634655,607481,518735,547989,663611,660162,641313,544725,673357,594809,54.25,,,,,,,,63,3,Sinker,3,3,3,3,3,3,3,3,Standard,Standard,123,0.0,
SL,2021-04-01,82.5,2.2,5.87,"Bummer, Aaron",543685,607481,,called_strike,,,,,5,Anthony Rendon strikes out swinging.,R,R,L,LAA,CWS,S,,,1,0,2021,-1.36,-0.53,-0.25,2.22,,660271,545361,0,8,Bot,,,,,518735,,,-2.9090670259963995,-120.08078938136411,-0.6772262939196084,-12.394236030624633,26.40831644053902,-37.37566791307393,3.25,1.55,,,,81.4,2487,5.8,634655,607481,518735,547989,663611,660162,641313,544725,673357,594809,54.67,,,,,,,,63,2,Slider,3,3,3,3,3,3,3,3,Standard,Standard,307,0.0,
SI,2021-04-01,96.0,2.18,5.73,"Bummer, Aaron",543685,607481,,ball,,,,,13,Anthony Rendon strikes out swinging.,R,R,L,LAA,CWS,B,,,0,0,2021,1.42,0.17,-1.15,1.07,,660271,545361,0,8,Bot,,,,,518735,,,-11.93670694858711,-139.1866852167232,-7.1225636836704025,20.971971584764603,28.50246047198276,-28.5858714663932,3.18,1.49,,,,95.9,2175,6.2,634655,607481,518735,547989,663611,660162,641313,544725,673357,594809,54.28,,,,,,,,63,1,Sinker,3,3,3,3,3,3,3,3,Standard,Standard,119,0.0,
